bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-old,68,0.0030925460922791082,117,1.5,19,3,0.23434256922441754
first-old,69,0.003094107729029421,107,1.3717948717948718,22,3,0.09128959946812407
first-old,70,0.004624507869432617,171,2.1923076923076925,9,9,0.03835170143758475
first-old,71,0.009195417741810262,399,5.115384615384615,1,2,0.01505710066167954
first-old,72,0.009129831700070664,343,4.397435897435898,0,3,0.07736614511667239
first-old,73,0.009089146372204432,349,4.4743589743589745,1,1,0.011414657660896195
first-old,74,0.009069973795774582,388,4.9743589743589745,0,6,0.1447073979454713
first-old,75,0.008979324782972116,353,4.5256410256410255,1,2,0.23019912928947484
first-old,76,0.008889249585588644,354,4.538461538461538,0,3,0.7499137055369047
first-old,77,0.008596451115028006,347,4.448717948717949,1,8,0.09391612888407251
first-old,78,0.003120567667112555,107,1.3717948717948718,12,11,0.07548067318226562
first-old,79,0.0031040758073965723,138,1.7692307692307692,12,2,0.028324943421363283
first-old,80,0.0031020072853764685,132,1.6923076923076923,7,2,0.03968888632595767
first-old,81,0.0030766711611621336,114,1.4615384615384615,17,3,0.14920675485116092
first-old,82,0.0030826649524687264,120,1.5384615384615385,18,8,0.27488667044366916
first-old,83,0.003071559958948295,119,1.5256410256410255,17,2,0.14911846069350018
first-old,84,0.004590173593626515,170,2.1794871794871793,4,2,0.007532763223857572
first-old,85,0.009095536099493505,369,4.730769230769231,2,3,0.2129165830176276
first-old,86,0.009054823459607524,375,4.8076923076923075,1,3,0.13254327083918246
first-old,87,0.009035639697408766,367,4.705128205128205,1,4,0.46498011104195985
first-old,88,0.008944991632856244,352,4.512820512820513,1,8,0.17364920218740512
first-old,89,0.008870288926542031,363,4.653846153846154,0,5,0.15557567758254004
first-old,90,0.008562270572889864,335,4.294871794871795,2,3,0.03542204488978906
first-old,91,0.0030987056537618175,111,1.4230769230769231,16,4,0.15411772623299036
first-old,92,0.003082213794045835,118,1.5128205128205128,15,2,0.018824239913844302
first-old,93,0.003080145272025731,140,1.794871794871795,17,2,0.029579228334810727
first-old,94,0.0030551849830528464,130,1.6666666666666667,17,5,0.166637742630398
first-old,95,0.003060802798850952,115,1.4743589743589745,16,4,0.1034396632662836
first-old,96,0.0030496971044909785,115,1.4743589743589745,15,1,0.04974828777057793
first-old,97,0.003038252900973393,129,1.6538461538461537,16,5,0.3975499122028713
first-old,98,0.004524587518183176,202,2.58974358974359,4,12,0.2679446345896166
first-old,99,0.008989226232099018,333,4.269230769230769,1,1,0.0449870968449556
first-old,100,0.00897005864301116,387,4.961538461538462,2,6,0.30464942273408996
first-old,101,0.008897074213832389,368,4.717948717948718,0,6,0.46078893543233335
first-old,102,0.008808510962475227,362,4.641025641025641,1,8,0.5122573698714961
first-old,103,0.00849669870654732,305,3.91025641025641,1,3,0.06257915636120924
first-old,104,0.003085143878155321,135,1.7307692307692308,18,6,0.1913845727757591
first-old,105,0.003068652018439338,117,1.5,18,3,0.09637128661220261
first-old,106,0.003066583496419234,129,1.6538461538461537,12,4,0.03622762676793336
first-old,107,0.003040740248649781,115,1.4743589743589745,19,1,0.004418783214889336
first-old,108,0.0030408203149837813,116,1.4871794871794872,12,1,0.011679383097228518
first-old,109,0.0030361325646821274,122,1.564102564102564,16,1,0.0018181768608572229
first-old,110,0.003024691110993242,135,1.7307692307692308,15,2,0.21760166476732748
first-old,111,0.003002829561068935,114,1.4615384615384615,15,8,0.1218758348397168
first-old,112,0.004483901867157541,144,1.8461538461538463,12,2,0.08899142645662401
first-old,113,0.008948627684417313,361,4.628205128205129,0,2,0.25651940062033846
first-old,114,0.008857952729646955,369,4.730769230769231,0,3,0.018358721228487692
first-old,115,0.008767899905759253,343,4.397435897435898,0,7,0.32605754414205407
first-old,116,0.008456018424329408,338,4.333333333333333,2,10,0.646016119462756
first-old,117,0.003078753019509794,110,1.4102564102564104,15,3,0.054070283541814756
first-old,118,0.0030622611597938116,142,1.8205128205128205,12,4,0.03225646226273038
first-old,119,0.0030601926377737078,112,1.435897435897436,22,2,0.21049250900184757
first-old,120,0.003040739542766197,122,1.564102564102564,16,6,0.10656766121266344
first-old,121,0.0030344294563382545,123,1.5769230769230769,16,3,0.005206168135973876
first-old,122,0.0030297342847703562,129,1.6538461538461537,15,5,0.18065179721381805
first-old,123,0.0030183005204907085,115,1.4743589743589745,22,3,0.13765899351869498
